TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,L,0,3,NaN
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,487,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,222,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,189,4,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,74,4,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,O,417,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,464,4,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,0,4,NaN
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,H,785,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,J,477,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,D,358,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,B,302,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,L,138,3,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,V,427,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,V,343,4,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,N,697,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,V,666,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,L,763,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,166,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,116,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,J,35,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,S,5,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,P,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,F,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,Q,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,C,171,3,4
