TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,L,0,3,NaN
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,0,3,NaN
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,1143,3,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,143,4,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,110,4,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,O,1464,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,1133,4,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,897,4,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,H,456,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,J,97,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,D,82,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,B,415,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,L,383,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,V,415,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,V,69,4,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,N,166,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,V,589,3,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,L,812,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,1013,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,780,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,J,569,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,S,399,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,P,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,F,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,Q,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,C,109,3,4
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,N,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,P,524,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,C,1264,4,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,N,1165,3,4
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,P,558,4,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,C,866,4,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,N,453,4,4
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,V,942,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,Q,1287,3,4
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,M,890,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,H,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,Q,56,4,4
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,X,672,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,N,484,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,Z,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,F,130,3,4
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,C,329,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,H,0,3,NaN
